FL_DATE,AIRLINE,airline_name,ORIGIN,DEST,ARR_DELAY,CANCELLED,DAY_OF_WEEK
2022-07-19,SkyWest Airlines Inc.,SkyWest Airlines,SAN,SFO,-7.0,0.0,Tuesday
2022-09-13,Republic Airline,,CMH,ORD,-11.0,0.0,Tuesday
2022-07-09,SkyWest Airlines Inc.,SkyWest Airlines,CVG,ORD,-23.0,0.0,Saturday
2021-03-19,United Air Lines Inc.,United Airlines,DEN,MCI,-4.0,0.0,Friday
2020-01-03,United Air Lines Inc.,United Airlines,IAH,SFO,-13.0,0.0,Friday
2023-06-18,SkyWest Airlines Inc.,SkyWest Airlines,ATW,DTW,-16.0,0.0,Sunday
2023-05-20,SkyWest Airlines Inc.,SkyWest Airlines,ABQ,LAX,-11.0,0.0,Saturday
2019-09-23,PSA Airlines Inc.,,CRW,CLT,-12.0,0.0,Monday
2022-04-23,Endeavor Air Inc.,,TRI,ATL,-7.0,0.0,Saturday
2019-11-22,Spirit Air Lines,Spirit Airlines,LAS,MSP,-1.0,0.0,Friday
2022-01-28,Delta Air Lines Inc.,Delta Air Lines,SLC,JFK,7.0,0.0,Friday
2021-11-27,American Airlines Inc.,American Airlines,ORD,DTW,7.0,0.0,Saturday
2019-11-26,Envoy Air,,DFW,HRL,-16.0,0.0,Tuesday
2020-10-04,SkyWest Airlines Inc.,SkyWest Airlines,OAK,SLC,-5.0,0.0,Sunday
2021-08-10,Mesa Airlines Inc.,,DFW,AMA,-5.0,0.0,Tuesday
2022-07-26,United Air Lines Inc.,United Airlines,DEN,SAN,-2.0,0.0,Tuesday
2019-08-01,Frontier Airlines Inc.,Frontier Airlines,CVG,MCO,11.0,0.0,Thursday
2019-12-04,Southwest Airlines Co.,Southwest Airlines,FLL,ATL,-17.0,0.0,Wednesday
2023-06-06,Republic Airline,,EWR,IND,1.0,0.0,Tuesday
2023-03-14,Delta Air Lines Inc.,Delta Air Lines,TPA,ATL,0.0,0.0,Tuesday
2022-06-27,Spirit Air Lines,Spirit Airlines,ACY,MCO,-33.0,0.0,Monday
2021-11-04,American Airlines Inc.,American Airlines,TUS,DFW,10.0,0.0,Thursday
2023-04-06,Frontier Airlines Inc.,Frontier Airlines,LAS,PHX,-7.0,0.0,Thursday
2023-08-02,Allegiant Air,,SFB,CVG,-11.0,0.0,Wednesday
2022-04-18,Spirit Air Lines,Spirit Airlines,LAS,ORD,1.0,0.0,Monday
2023-01-06,American Airlines Inc.,American Airlines,DFW,PHL,-21.0,0.0,Friday
2019-05-10,PSA Airlines Inc.,,CLT,AGS,-4.0,0.0,Friday
2020-11-17,Endeavor Air Inc.,,MCI,DTW,-2.0,0.0,Tuesday
2022-11-20,Southwest Airlines Co.,Southwest Airlines,STL,BWI,11.0,0.0,Sunday
